epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
174,0.2950,0.0028,0.2924,0.4936,0.6923,0.6929,0.6937,119
175,0.2951,0.0025,0.2926,0.5009,0.6947,0.6946,0.6919,119
176,0.2981,0.0037,0.2948,0.5000,0.6939,0.6931,0.6925,119
177,0.2941,0.0022,0.2919,0.4975,0.6928,0.6926,0.6935,119
178,0.2950,0.0027,0.2924,0.5021,0.6924,0.6913,0.6943,119
179,0.2972,0.0033,0.2942,0.4977,0.6927,0.6924,0.6938,119
180,0.2992,0.0038,0.2959,0.5018,0.6938,0.6925,0.6930,119
181,0.2955,0.0036,0.2923,0.4955,0.6943,0.6928,0.6920,120
182,0.2941,0.0027,0.2915,0.5000,0.6944,0.6938,0.6917,120
183,0.3001,0.0042,0.2965,0.4994,0.6912,0.6899,0.6957,119
184,0.3007,0.0038,0.2974,0.5015,0.6918,0.6924,0.6949,119
185,0.2995,0.0033,0.2965,0.5010,0.6943,0.6936,0.6922,119
186,0.2957,0.0027,0.2931,0.5022,0.6939,0.6929,0.6933,119
187,0.3000,0.0039,0.2965,0.5037,0.6921,0.6918,0.6946,119
188,0.2985,0.0027,0.2959,0.4988,0.6939,0.6927,0.6927,119
189,0.2988,0.0024,0.2964,0.4964,0.6935,0.6949,0.6927,119
190,0.2973,0.0022,0.2950,0.5001,0.6938,0.6935,0.6928,119
191,0.2986,0.0024,0.2962,0.4974,0.6925,0.6922,0.6939,119
192,0.2969,0.0034,0.2938,0.4998,0.6940,0.6939,0.6923,119
193,0.2984,0.0028,0.2958,0.5030,0.6938,0.6934,0.6931,119
194,0.2949,0.0023,0.2926,0.4941,0.6917,0.6908,0.6950,120
195,0.2970,0.0024,0.2947,0.4954,0.6922,0.6925,0.6938,119
196,0.3005,0.0027,0.2978,0.5002,0.6940,0.6935,0.6925,119
197,0.2952,0.0020,0.2931,0.4999,0.6929,0.6920,0.6935,119
198,0.2957,0.0031,0.2928,0.4956,0.6932,0.6928,0.6933,119
199,0.2940,0.0024,0.2917,0.4977,0.6937,0.6927,0.6928,119
200,0.2996,0.0030,0.2968,0.5056,0.6926,0.6918,0.6940,119
201,0.2971,0.0035,0.2939,0.4986,0.6927,0.6922,0.6934,119
202,0.3020,0.0040,0.2985,0.5045,0.6938,0.6933,0.6924,119
203,0.3002,0.0030,0.2975,0.5034,0.6940,0.6929,0.6934,119
204,0.2989,0.0022,0.2967,0.4992,0.6914,0.6921,0.6945,119
205,0.2987,0.0039,0.2953,0.5001,0.6937,0.6923,0.6934,119
206,0.2961,0.0018,0.2942,0.4987,0.6941,0.6940,0.6925,119
207,0.3023,0.0038,0.2989,0.5038,0.6952,0.6948,0.6916,119
208,0.3018,0.0036,0.2986,0.5029,0.6938,0.6922,0.6931,119
209,0.2996,0.0035,0.2965,0.5048,0.6934,0.6925,0.6937,119
210,0.2959,0.0028,0.2932,0.4969,0.6942,0.6936,0.6927,119
211,0.2995,0.0047,0.2955,0.4979,0.6920,0.6926,0.6939,119
212,0.2992,0.0034,0.2962,0.5035,0.6913,0.6916,0.6957,119
213,0.2990,0.0030,0.2962,0.5027,0.6931,0.6929,0.6932,119
214,0.2995,0.0027,0.2970,0.5015,0.6934,0.6934,0.6927,119
215,0.3001,0.0018,0.2982,0.5011,0.6938,0.6936,0.6930,119
216,0.2965,0.0024,0.2941,0.5013,0.6929,0.6918,0.6933,119
217,0.2969,0.0033,0.2939,0.5009,0.6923,0.6915,0.6950,120
218,0.3021,0.0036,0.2989,0.5024,0.6954,0.6952,0.6908,119
219,0.2983,0.0034,0.2953,0.4974,0.6946,0.6938,0.6919,119
220,0.2982,0.0030,0.2954,0.4971,0.6937,0.6928,0.6936,119
221,0.2977,0.0028,0.2951,0.4998,0.6930,0.6925,0.6932,119
222,0.2995,0.0023,0.2972,0.5054,0.6943,0.6937,0.6918,119
223,0.2997,0.0032,0.2968,0.5057,0.6939,0.6933,0.6927,119
224,0.2958,0.0018,0.2938,0.4978,0.6946,0.6928,0.6925,119
225,0.2977,0.0025,0.2953,0.5026,0.6973,0.6960,0.6892,119
226,0.2985,0.0033,0.2955,0.4971,0.6923,0.6901,0.6951,119
227,0.2978,0.0029,0.2950,0.5032,0.6964,0.6967,0.6892,119
228,0.2982,0.0035,0.2950,0.4965,0.6931,0.6923,0.6938,119
229,0.2949,0.0034,0.2918,0.5004,0.6949,0.6951,0.6913,119
230,0.2972,0.0034,0.2942,0.5005,0.6923,0.6911,0.6950,119
231,0.2940,0.0032,0.2911,0.5007,0.6936,0.6923,0.6928,119
232,0.2989,0.0032,0.2960,0.5043,0.6940,0.6946,0.6914,119
233,0.3010,0.0024,0.2987,0.5022,0.6915,0.6901,0.6967,119
234,0.2986,0.0018,0.2967,0.5012,0.6940,0.6940,0.6922,119
235,0.2936,0.0019,0.2916,0.4929,0.6944,0.6941,0.6918,119
236,0.2974,0.0038,0.2940,0.4978,0.6926,0.6927,0.6936,119
237,0.2959,0.0022,0.2936,0.4988,0.6939,0.6928,0.6934,119
238,0.2982,0.0029,0.2955,0.4986,0.6944,0.6934,0.6916,119
239,0.2969,0.0017,0.2951,0.4936,0.6937,0.6908,0.6940,119
240,0.2969,0.0021,0.2947,0.4999,0.6943,0.6948,0.6927,119
241,0.2967,0.0040,0.2932,0.4945,0.6945,0.6941,0.6930,119
242,0.2959,0.0021,0.2937,0.5014,0.6930,0.6934,0.6934,119
243,0.2971,0.0017,0.2952,0.5021,0.6923,0.6919,0.6939,119
244,0.2995,0.0026,0.2970,0.5016,0.6935,0.6925,0.6934,119
245,0.2980,0.0035,0.2948,0.4991,0.6930,0.6911,0.6935,119
246,0.2975,0.0030,0.2947,0.5024,0.6927,0.6917,0.6936,119
247,0.2935,0.0033,0.2905,0.4991,0.6971,0.6947,0.6903,120
248,0.2981,0.0027,0.2955,0.5015,0.6898,0.6862,0.6989,119
249,0.3007,0.0054,0.2961,0.5021,0.7019,0.6977,0.6872,119
250,0.3001,0.0070,0.2945,0.5001,0.6976,0.6948,0.6900,119
251,0.2957,0.0035,0.2926,0.4959,0.6936,0.6933,0.6937,119
252,0.3010,0.0031,0.2981,0.5018,0.6930,0.6950,0.6939,119
253,0.2972,0.0020,0.2951,0.5031,0.6928,0.6936,0.6931,119
254,0.3012,0.0026,0.2986,0.5030,0.6917,0.6917,0.6951,119
255,0.2957,0.0020,0.2936,0.5006,0.6929,0.6925,0.6936,119
256,0.2929,0.0015,0.2912,0.4969,0.6928,0.6929,0.6936,119
257,0.2983,0.0021,0.2962,0.5026,0.6957,0.6951,0.6907,119
258,0.2971,0.0033,0.2941,0.5021,0.6924,0.6941,0.6937,119
259,0.2983,0.0029,0.2956,0.5020,0.6941,0.6929,0.6926,119
260,0.2959,0.0028,0.2932,0.5021,0.6946,0.6942,0.6920,119
261,0.3002,0.0031,0.2973,0.5034,0.6949,0.6943,0.6908,119
262,0.2973,0.0045,0.2935,0.5006,0.6927,0.6918,0.6944,119
263,0.2995,0.0020,0.2974,0.5044,0.6949,0.6948,0.6921,119
264,0.2957,0.0024,0.2933,0.4985,0.6912,0.6916,0.6953,119
265,0.2957,0.0020,0.2936,0.4981,0.6933,0.6929,0.6932,119
266,0.2990,0.0026,0.2965,0.4994,0.6943,0.6935,0.6924,119
267,0.2980,0.0018,0.2960,0.4961,0.6950,0.6923,0.6928,119
268,0.2980,0.0024,0.2956,0.5020,0.6936,0.6938,0.6925,119
269,0.2989,0.0037,0.2956,0.5001,0.6926,0.6926,0.6937,119
270,0.2962,0.0032,0.2933,0.4908,0.6936,0.6939,0.6929,119
271,0.2983,0.0025,0.2959,0.5041,0.6927,0.6918,0.6938,119
272,0.2954,0.0021,0.2932,0.4957,0.6933,0.6928,0.6931,119
273,0.2985,0.0031,0.2956,0.4943,0.6923,0.6926,0.6941,119
274,0.3024,0.0025,0.2999,0.5064,0.6937,0.6936,0.6939,119
275,0.2991,0.0017,0.2972,0.5031,0.6939,0.6944,0.6920,119
276,0.3021,0.0025,0.2996,0.4999,0.6937,0.6928,0.6929,119
277,0.2977,0.0026,0.2952,0.4996,0.6952,0.6943,0.6915,119
278,0.2994,0.0021,0.2972,0.5000,0.6948,0.6945,0.6916,119
279,0.2962,0.0031,0.2933,0.5007,0.6925,0.6929,0.6935,119
280,0.2963,0.0033,0.2933,0.4982,0.6928,0.6925,0.6938,119
281,0.2978,0.0032,0.2949,0.5022,0.6930,0.6928,0.6937,119
282,0.2952,0.0020,0.2931,0.4975,0.6935,0.6937,0.6926,119
283,0.2992,0.0022,0.2969,0.4993,0.6947,0.6937,0.6919,119
284,0.2993,0.0027,0.2967,0.5001,0.6937,0.6926,0.6930,119
285,0.2962,0.0024,0.2938,0.5004,0.6923,0.6925,0.6939,119
286,0.2966,0.0030,0.2939,0.5018,0.6940,0.6925,0.6923,119
287,0.2984,0.0016,0.2966,0.5019,0.6952,0.6941,0.6923,119
288,0.2966,0.0019,0.2946,0.5040,0.6916,0.6921,0.6942,119
289,0.2978,0.0024,0.2954,0.4951,0.6935,0.6941,0.6937,119
290,0.2988,0.0024,0.2965,0.5005,0.6933,0.6925,0.6933,119
291,0.2980,0.0021,0.2958,0.5006,0.6936,0.6939,0.6925,119
292,0.2969,0.0022,0.2947,0.5007,0.6944,0.6926,0.6924,119
293,0.2966,0.0020,0.2946,0.4980,0.6936,0.6931,0.6928,119
294,0.2952,0.0022,0.2929,0.4993,0.6928,0.6907,0.6939,119
295,0.2954,0.0028,0.2928,0.4989,0.6949,0.6954,0.6923,119
296,0.2940,0.0024,0.2916,0.4964,0.6911,0.6914,0.6955,119
297,0.3013,0.0018,0.2994,0.4977,0.6917,0.6925,0.6947,119
298,0.2952,0.0019,0.2931,0.5013,0.6934,0.6931,0.6938,119
299,0.2964,0.0021,0.2942,0.4952,0.6916,0.6921,0.6943,119
300,0.2958,0.0024,0.2934,0.4946,0.6952,0.6933,0.6915,119
301,0.2953,0.0019,0.2933,0.4948,0.6917,0.6910,0.6960,119
302,0.2974,0.0015,0.2957,0.4984,0.6943,0.6941,0.6921,119
303,0.2947,0.0017,0.2928,0.5009,0.6939,0.6942,0.6918,119
304,0.2971,0.0013,0.2955,0.4996,0.6921,0.6922,0.6948,119
305,0.2993,0.0016,0.2974,0.4982,0.6949,0.6941,0.6918,119
306,0.2986,0.0019,0.2965,0.5059,0.6915,0.6912,0.6953,119
307,0.3003,0.0022,0.2981,0.5000,0.6931,0.6927,0.6934,119
308,0.3004,0.0026,0.2978,0.4981,0.6933,0.6938,0.6929,119
309,0.2972,0.0020,0.2951,0.5025,0.6934,0.6934,0.6929,119
310,0.2944,0.0024,0.2920,0.4970,0.6933,0.6910,0.6961,119
311,0.2979,0.0019,0.2959,0.4984,0.6905,0.6913,0.6960,119
312,0.2970,0.0014,0.2953,0.4971,0.6924,0.6950,0.6934,119
313,0.2948,0.0027,0.2923,0.4988,0.6925,0.6913,0.6937,119
314,0.2954,0.0017,0.2935,0.5006,0.6945,0.6963,0.6915,119
315,0.2958,0.0025,0.2934,0.5012,0.6955,0.6947,0.6934,119
316,0.3026,0.0024,0.3003,0.5024,0.6896,0.6898,0.6975,119
317,0.2932,0.0019,0.2912,0.4957,0.6948,0.6953,0.6916,119
318,0.2993,0.0022,0.2970,0.5026,0.6947,0.6942,0.6917,119
319,0.2981,0.0025,0.2957,0.4976,0.6928,0.6930,0.6941,119
320,0.2964,0.0018,0.2944,0.4987,0.6950,0.6950,0.6914,119
321,0.2951,0.0036,0.2920,0.4972,0.6923,0.6915,0.6950,119
322,0.2943,0.0020,0.2922,0.4996,0.6928,0.6927,0.6934,119
323,0.3007,0.0016,0.2989,0.5041,0.6979,0.6969,0.6891,119
324,0.2980,0.0035,0.2948,0.5017,0.6843,0.6840,0.7024,119
325,0.2978,0.0016,0.2960,0.5009,0.6979,0.6977,0.6881,119
326,0.2967,0.0016,0.2948,0.5029,0.6921,0.6914,0.6948,119
327,0.2960,0.0011,0.2946,0.4962,0.6938,0.6941,0.6925,119
328,0.2962,0.0012,0.2947,0.5009,0.6900,0.6903,0.6964,119
329,0.2944,0.0024,0.2920,0.4983,0.6961,0.6953,0.6907,119
330,0.2988,0.0021,0.2967,0.5066,0.6926,0.6933,0.6934,119
331,0.2965,0.0017,0.2946,0.5009,0.6932,0.6924,0.6932,119
332,0.2993,0.0013,0.2977,0.5011,0.6930,0.6921,0.6934,119
333,0.2968,0.0018,0.2948,0.4996,0.6956,0.6949,0.6908,119
334,0.2956,0.0014,0.2939,0.4945,0.6972,0.6967,0.6896,119
335,0.2969,0.0029,0.2941,0.4967,0.6893,0.6901,0.6973,119
336,0.2988,0.0019,0.2968,0.5023,0.6921,0.6907,0.6958,119
337,0.2921,0.0020,0.2900,0.4981,0.6959,0.6962,0.6901,119
338,0.2974,0.0015,0.2957,0.5034,0.6931,0.6927,0.6938,119
339,0.3005,0.0019,0.2984,0.5039,0.6937,0.6939,0.6923,119
340,0.2972,0.0015,0.2955,0.4997,0.6921,0.6920,0.6940,119
341,0.2949,0.0019,0.2928,0.4991,0.6934,0.6930,0.6930,119
342,0.2961,0.0024,0.2938,0.4985,0.6922,0.6914,0.6944,119
343,0.2965,0.0018,0.2946,0.5036,0.6927,0.6928,0.6936,119
344,0.2954,0.0015,0.2937,0.4980,0.6917,0.6915,0.6947,119
345,0.2951,0.0015,0.2933,0.5001,0.6951,0.6954,0.6911,119
346,0.2972,0.0018,0.2953,0.4962,0.6927,0.6928,0.6935,119
347,0.2957,0.0013,0.2941,0.4989,0.6936,0.6935,0.6930,119
348,0.2998,0.0012,0.2982,0.5053,0.6939,0.6943,0.6922,119
349,0.2979,0.0013,0.2962,0.5019,0.6932,0.6929,0.6931,119
350,0.2961,0.0019,0.2941,0.4999,0.6924,0.6924,0.6936,119
351,0.2946,0.0016,0.2928,0.4934,0.6922,0.6917,0.6947,120
352,0.2988,0.0019,0.2967,0.5004,0.6931,0.6930,0.6931,122
353,0.2948,0.0020,0.2928,0.5000,0.6921,0.6919,0.6944,121
